enzyme	fold	epoch	loss
Q9NV35	0	0	0.5462441071867943
Q9NV35	0	1	0.567883312702179
Q9NV35	0	2	0.48545364290475845
Q9NV35	0	3	0.5376156717538834
Q9NV35	0	4	0.5192718431353569
Q9NV35	0	5	0.5115614831447601
Q9NV35	0	6	0.4822385907173157
Q9NV35	0	7	0.48307811468839645
Q9NV35	0	8	0.45926983654499054
Q9NV35	0	9	0.4759347140789032
Q9NV35	0	10	0.4800524562597275
Q9NV35	0	11	0.4283481612801552
Q9NV35	0	12	0.42476247251033783
Q9NV35	0	13	0.41697199642658234
Q9NV35	0	14	0.46876100450754166
Q9NV35	0	15	0.40958109498023987
Q9NV35	0	16	0.4261005222797394
Q9NV35	0	17	0.47932879626750946
Q9NV35	0	18	0.4203679785132408
Q9NV35	0	19	0.3940451964735985
Q9NV35	0	20	0.44461365044116974
Q9NV35	0	21	0.4442700445652008
Q9NV35	0	22	0.363158643245697
Q9NV35	0	23	0.39302003383636475
Q9NV35	0	24	0.45999129116535187
Q9NV35	0	25	0.4435850530862808
Q9NV35	0	26	0.39235038310289383
Q9NV35	0	27	0.3761618845164776
Q9NV35	0	28	0.3798014223575592
Q9NV35	0	29	0.38985397666692734
Q9NV35	0	30	0.37041326612234116
Q9NV35	0	31	0.3782855197787285
Q9NV35	0	32	0.4134172350168228
Q9NV35	0	33	0.3966149538755417
Q9NV35	0	34	0.3915212079882622
Q9NV35	0	35	0.36409439891576767
Q9NV35	0	36	0.3968678042292595
Q9NV35	0	37	0.37033379077911377
Q9NV35	0	38	0.33519522100687027
Q9NV35	0	39	0.3500223159790039
Q9NV35	0	40	0.3916795551776886
Q9NV35	0	41	0.39765558391809464
Q9NV35	0	42	0.3609948456287384
Q9NV35	0	43	0.3575180694460869
Q9NV35	0	44	0.31275127828121185
Q9NV35	0	45	0.3246871307492256
Q9NV35	0	46	0.35586823523044586
Q9NV35	0	47	0.33808978646993637
Q9NV35	0	48	0.337055005133152
Q9NV35	0	49	0.3430468961596489
Q9NV35	1	0	0.46967127174139023
Q9NV35	1	1	0.4563029482960701
Q9NV35	1	2	0.4813403934240341
Q9NV35	1	3	0.4644639119505882
Q9NV35	1	4	0.45406389236450195
Q9NV35	1	5	0.4456746056675911
Q9NV35	1	6	0.41436031460762024
Q9NV35	1	7	0.4649190232157707
Q9NV35	1	8	0.4394112676382065
Q9NV35	1	9	0.4151715263724327
Q9NV35	1	10	0.40486543625593185
Q9NV35	1	11	0.3525712788105011
Q9NV35	1	12	0.4357375130057335
Q9NV35	1	13	0.4260808825492859
Q9NV35	1	14	0.412050761282444
Q9NV35	1	15	0.3835161253809929
Q9NV35	1	16	0.4211580529808998
Q9NV35	1	17	0.397012360394001
Q9NV35	1	18	0.3838580772280693
Q9NV35	1	19	0.406538724899292
Q9NV35	1	20	0.34518127143383026
Q9NV35	1	21	0.38748471438884735
Q9NV35	1	22	0.3916567414999008
Q9NV35	1	23	0.34764304757118225
Q9NV35	1	24	0.37540970742702484
Q9NV35	1	25	0.35688692331314087
Q9NV35	1	26	0.3718010485172272
Q9NV35	1	27	0.38674212247133255
Q9NV35	1	28	0.39193594455718994
Q9NV35	1	29	0.351099893450737
Q9NV35	1	30	0.3297295942902565
Q9NV35	1	31	0.35846737772226334
Q9NV35	1	32	0.3300127573311329
Q9NV35	1	33	0.3345405235886574
Q9NV35	1	34	0.3526943549513817
Q9NV35	1	35	0.33579985052347183
Q9NV35	1	36	0.360296793282032
Q9NV35	1	37	0.32512739300727844
Q9NV35	1	38	0.310509592294693
Q9NV35	1	39	0.34690309315919876
Q9NV35	1	40	0.34559015184640884
Q9NV35	1	41	0.3054446801543236
Q9NV35	1	42	0.29462186247110367
Q9NV35	1	43	0.30040739849209785
Q9NV35	1	44	0.3001503273844719
Q9NV35	1	45	0.33607616648077965
Q9NV35	1	46	0.3129471093416214
Q9NV35	1	47	0.28038275241851807
Q9NV35	1	48	0.2872771918773651
Q9NV35	1	49	0.2910856567323208
Q9NV35	2	0	0.5088034421205521
Q9NV35	2	1	0.5220296233892441
Q9NV35	2	2	0.5207774490118027
Q9NV35	2	3	0.5376961156725883
Q9NV35	2	4	0.5117429718375206
Q9NV35	2	5	0.5003576651215553
Q9NV35	2	6	0.45316188782453537
Q9NV35	2	7	0.4946046471595764
Q9NV35	2	8	0.43177496641874313
Q9NV35	2	9	0.4460190311074257
Q9NV35	2	10	0.48551399260759354
Q9NV35	2	11	0.4527646377682686
Q9NV35	2	12	0.48577024042606354
Q9NV35	2	13	0.4501883536577225
Q9NV35	2	14	0.44666220992803574
Q9NV35	2	15	0.4251537173986435
Q9NV35	2	16	0.4300902932882309
Q9NV35	2	17	0.4218708202242851
Q9NV35	2	18	0.43753673136234283
Q9NV35	2	19	0.4521506205201149
Q9NV35	2	20	0.3945360332727432
Q9NV35	2	21	0.41711752861738205
Q9NV35	2	22	0.40340375900268555
Q9NV35	2	23	0.3936009183526039
Q9NV35	2	24	0.383649006485939
Q9NV35	2	25	0.38247449696063995
Q9NV35	2	26	0.3859773203730583
Q9NV35	2	27	0.3484950587153435
Q9NV35	2	28	0.3594028279185295
Q9NV35	2	29	0.33032097667455673
Q9NV35	2	30	0.3725487291812897
Q9NV35	2	31	0.387855164706707
Q9NV35	2	32	0.3746316283941269
Q9NV35	2	33	0.3703661933541298
Q9NV35	2	34	0.3662370815873146
Q9NV35	2	35	0.37869592756032944
Q9NV35	2	36	0.3415501117706299
Q9NV35	2	37	0.35270922631025314
Q9NV35	2	38	0.3751084953546524
Q9NV35	2	39	0.3782235234975815
Q9NV35	2	40	0.3608386814594269
Q9NV35	2	41	0.35387612134218216
Q9NV35	2	42	0.3343600109219551
Q9NV35	2	43	0.3316584825515747
Q9NV35	2	44	0.3170306980609894
Q9NV35	2	45	0.3479497730731964
Q9NV35	2	46	0.3155922517180443
Q9NV35	2	47	0.34963732585310936
Q9NV35	2	48	0.298845611512661
Q9NV35	2	49	0.33284248411655426
Q9NV35	3	0	0.578068882226944
Q9NV35	3	1	0.547923319041729
Q9NV35	3	2	0.5179955810308456
Q9NV35	3	3	0.5672658756375313
Q9NV35	3	4	0.5255837440490723
Q9NV35	3	5	0.5642723068594933
Q9NV35	3	6	0.4817080721259117
Q9NV35	3	7	0.5092124938964844
Q9NV35	3	8	0.5191748514771461
Q9NV35	3	9	0.515462338924408
Q9NV35	3	10	0.47640857100486755
Q9NV35	3	11	0.5155385062098503
Q9NV35	3	12	0.49727070331573486
Q9NV35	3	13	0.4097084552049637
Q9NV35	3	14	0.479489728808403
Q9NV35	3	15	0.45215385407209396
Q9NV35	3	16	0.439824640750885
Q9NV35	3	17	0.4848789945244789
Q9NV35	3	18	0.3961760252714157
Q9NV35	3	19	0.44901562482118607
Q9NV35	3	20	0.41220881789922714
Q9NV35	3	21	0.4318346753716469
Q9NV35	3	22	0.43744439631700516
Q9NV35	3	23	0.42874132841825485
Q9NV35	3	24	0.40822402387857437
Q9NV35	3	25	0.41541098803281784
Q9NV35	3	26	0.39848699420690536
Q9NV35	3	27	0.39452629536390305
Q9NV35	3	28	0.45568642765283585
Q9NV35	3	29	0.40435123443603516
Q9NV35	3	30	0.40766749531030655
Q9NV35	3	31	0.4158385545015335
Q9NV35	3	32	0.3766205608844757
Q9NV35	3	33	0.40868379175662994
Q9NV35	3	34	0.3794703781604767
Q9NV35	3	35	0.37652434408664703
Q9NV35	3	36	0.40158461034297943
Q9NV35	3	37	0.4128410369157791
Q9NV35	3	38	0.3566071018576622
